2472643, -0.50, 0.89, -0.10, 1.10, 1.22, -8.11, -14.40, 30.76, -4.95
2472652, -0.50, 0.88, -0.11, 0.67, 0.43, -5.91, -14.10, 31.51, -3.90
2472661, -0.51, 0.88, -0.11, 1.22, 0.73, -5.00, -15.00, 31.21, -4.80
2472669, -0.50, 0.87, -0.10, 0.30, -0.18, -3.90, -15.90, 31.51, -3.90
2472678, -0.51, 0.87, -0.11, 0.79, 0.43, -3.72, -16.50, 31.21, -4.05
2472687, -0.52, 0.88, -0.12, 0.49, -0.12, -3.05, -15.30, 33.46, -4.50
2472696, -0.50, 0.88, -0.12, 0.67, 0.18, -3.05, -15.30, 33.46, -4.50
2472705, -0.51, 0.87, -0.12, 0.67, -0.18, -3.48, -15.60, 31.51, -4.20
2472713, -0.51, 0.87, -0.10, 0.24, -0.37, -4.09, -15.75, 32.41, -5.55
2472722, -0.50, 0.88, -0.10, 1.04, 0.30, -4.15, -15.30, 32.71, -3.75
2472731, -0.50, 0.87, -0.11, -0.06, -0.43, -2.56, -15.75, 34.21, -3.75
2472740, -0.50, 0.88, -0.11, 1.22, 0.67, -2.01, -15.60, 33.61, -3.90
2472748, -0.50, 0.87, -0.11, -0.37, -1.71, 1.04, -15.15, 33.61, -3.90
2472757, -0.50, 0.87, -0.12, 0.85, -0.67, 2.44, -14.10, 33.91, -5.25
2472792, -0.50, 0.86, -0.13, 0.37, -1.04, 1.46, -9.45, 37.21, -6.30
2472801, -0.49, 0.87, -0.11, 0.37, -0.85, -0.98, -8.10, 40.36, -6.15
2472811, -0.49, 0.87, -0.11, 0.24, -0.91, -3.29, -7.95, 40.51, -6.00
2472820, -0.48, 0.88, -0.12, 0.79, -0.79, -4.27, -6.00, 42.16, -5.10
2472829, -0.47, 0.88, -0.11, -0.24, -2.13, -2.93, -3.15, 43.51, -6.15
2472838, -0.47, 0.87, -0.10, 0.67, -1.59, -2.50, -1.50, 43.36, -6.30
2472847, -0.45, 0.86, -0.09, -0.49, -2.99, -1.95, -1.65, 45.76, -4.80
2472856, -0.42, 0.83, -0.06, 0.24, -1.65, -3.23, -0.90, 45.01, -3.75
2472866, -0.36, 0.83, -0.01, -1.28, -0.85, -8.41, -0.90, 45.01, -3.75
2472875, -0.27, 0.81, 0.01, -0.06, 3.84, -17.01, 1.05, 44.86, -3.90
2472884, -0.19, 0.83, 0.03, 1.71, 11.71, -32.68, 1.20, 44.26, -5.10
2472893, -0.13, 0.82, 0.02, 5.06, 18.35, -49.63, 3.45, 45.91, -1.80
2472902, 0.01, 0.78, 0.05, 16.16, 32.68, -73.54, 2.10, 44.86, -2.10
2472912, 0.26, 0.75, 0.02, 46.34, 48.05, -100.43, 2.85, 46.36, -0.45
2472947, 0.20, 0.58, -0.29, 44.70, 46.65, -154.88, 4.80, 43.96, 2.85
2472956, 0.12, 0.66, 0.18, -14.82, 53.66, -263.11, 5.10, 42.46, 5.70
2472966, 0.01, 0.67, -0.32, 34.33, -0.67, -217.13, 6.60, 42.16, 5.70
2472975, 0.25, 1.03, -0.52, 17.99, 19.33, -312.74, 6.60, 42.16, 3.90
2472985, 0.56, 1.14, -0.38, 18.84, 8.48, -314.45, 4.95, 41.26, 5.85
2472994, 0.38, 1.23, 0.53, 43.23, -4.21, -241.89, 6.75, 40.51, 7.20
2473003, 0.41, 0.99, 0.36, -1.95, -24.45, -239.63, 7.35, 40.96, 5.40
2473013, 0.17, 0.62, -0.04, 86.46, -55.49, -155.85, 7.95, 40.36, 6.75
2473022, 0.18, 0.54, -0.24, 59.15, -81.10, -156.71, 8.70, 41.71, 6.00
2473031, 0.06, 0.27, -0.22, 72.32, -115.18, -153.23, 9.60, 39.01, 6.15
2473041, -0.16, 0.12, -0.34, 116.71, -123.05, -160.85, 9.75, 39.91, 6.75
2473050, -0.16, 0.08, -0.46, 112.01, -128.05, -175.06, 11.55, 38.56, 8.55
2473060, -0.19, 0.10, -0.40, 83.29, -148.84, -173.60, 11.40, 40.06, 8.25
2473069, -0.23, -0.01, -0.30, 88.72, -161.89, -130.61, 13.20, 39.01, 11.10
2473104, -0.15, 0.05, -0.39, 110.61, -148.05, -89.27, 13.95, 37.66, 12.15
2473114, -0.55, -0.21, -0.17, 89.88, -121.40, -67.26, 14.10, 37.81, 11.25
2473123, -0.15, -0.14, -0.34, 30.55, -118.96, -57.01, 15.45, 39.46, 12.15
2473133, -0.44, -0.04, -0.86, -4.76, -141.95, 70.18, 16.50, 38.71, 11.85
2473142, -0.35, 0.09, 0.30, -34.70, -151.22, 94.15, 18.30, 40.51, 13.20
2473152, -0.29, 0.22, 1.73, -15.30, -21.04, -12.87, 17.40, 39.16, 13.05
2473161, 0.06, 0.24, 0.14, -37.93, -93.29, -129.02, 19.95, 39.61, 12.60
2473171, -2.00, -2.00, 1.16, 85.24, -151.10, 140.67, 21.16, 39.01, 11.10
2473180, -0.23, 0.18, 0.11, -94.21, -94.33, -105.49, 21.31, 38.86, 13.05
2473190, -0.41, -0.06, -0.43, -169.51, -72.20, -56.16, 21.76, 38.11, 14.40
2473199, -0.54, 0.10, 0.41, -109.33, -40.91, -58.35, 21.01, 38.11, 14.40
2473209, -2.00, -2.00, 0.77, -130.30, -55.24, -37.56, 20.86, 37.96, 15.00
2473218, -1.29, -0.33, 0.45, -143.54, -56.59, -53.66, 20.86, 37.96, 15.30
2473254, -1.36, -0.11, 0.46, -139.27, -45.18, -70.85, 23.56, 38.56, 14.10
2473263, -1.40, 0.08, 0.55, -150.06, -55.49, -69.76, 24.46, 40.51, 12.45
2473272, -1.43, 0.14, 0.39, -160.55, -66.28, -46.40, 23.56, 40.96, 12.00
2473282, -1.39, 0.47, 0.71, -155.73, -46.46, -31.83, 25.96, 40.96, 10.65
